Wilayah Jawa Barat,Bulan_Tahun,Tahun,Kelompok Pengeluaran IHK,IHK Value
Kota Bogor,February-2020,2020,Perawatan Pribadi & Jasa Lainnya,107.18
Kota Bogor,January-2020,2020,Umum,105.65
Kota Bogor,January-2020,2020,"Makanan, Minuman & Tembakau",106.62
Kota Bogor,January-2020,2020,Pakaian & Alas Kaki,101.9
Kota Bogor,January-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",101.8
Kota Bogor,January-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",113.11
Kota Bogor,January-2020,2020,Kesehatan,104.39
Kota Bogor,January-2020,2020,Transportasi,103.31
Kota Bogor,January-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",100.09
Kota Bogor,January-2020,2020,"Rekreasi, Olahraga & Budaya",102.29
Kota Bogor,January-2020,2020,Pendidikan,114.34
Kota Bogor,January-2020,2020,Penyediaan Makanan & Minuman - Restoran,110.8
Kota Bogor,January-2020,2020,Perawatan Pribadi & Jasa Lainnya,107.35
Kota Sukabumi,December-2020,2020,Umum,105.65
Kota Sukabumi,December-2020,2020,"Makanan, Minuman & Tembakau",104.94
Kota Sukabumi,December-2020,2020,Pakaian & Alas Kaki,113.9
Kota Sukabumi,December-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",104.47
Kota Sukabumi,December-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",102.76
Kota Sukabumi,December-2020,2020,Kesehatan,104.5
Kota Sukabumi,December-2020,2020,Transportasi,104.63
Kota Sukabumi,December-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",99.59
Kota Sukabumi,December-2020,2020,"Rekreasi, Olahraga & Budaya",103.0
Kota Sukabumi,December-2020,2020,Pendidikan,110.9
Kota Sukabumi,December-2020,2020,Penyediaan Makanan & Minuman - Restoran,106.76
Kota Sukabumi,December-2020,2020,Perawatan Pribadi & Jasa Lainnya,113.24
Kota Sukabumi,November-2020,2020,Umum,105.04
Kota Sukabumi,November-2020,2020,"Makanan, Minuman & Tembakau",103.07
Kota Sukabumi,November-2020,2020,Pakaian & Alas Kaki,113.25
Kota Sukabumi,November-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",104.44
Kota Sukabumi,November-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",102.6
Kota Sukabumi,November-2020,2020,Kesehatan,104.5
Kota Sukabumi,November-2020,2020,Transportasi,104.63
Kota Sukabumi,November-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",99.74
Kota Sukabumi,November-2020,2020,"Rekreasi, Olahraga & Budaya",103.0
Kota Sukabumi,November-2020,2020,Pendidikan,110.9
Kota Sukabumi,November-2020,2020,Penyediaan Makanan & Minuman - Restoran,106.76
Kota Sukabumi,November-2020,2020,Perawatan Pribadi & Jasa Lainnya,113.28
Kota Sukabumi,October-2020,2020,Umum,104.67
Kota Sukabumi,October-2020,2020,"Makanan, Minuman & Tembakau",102.12
Kota Sukabumi,October-2020,2020,Pakaian & Alas Kaki,113.24
Kota Sukabumi,October-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",104.44
Kota Sukabumi,October-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",102.6
Kota Sukabumi,October-2020,2020,Kesehatan,103.63
Kota Sukabumi,October-2020,2020,Transportasi,104.16
Kota Sukabumi,October-2020,2020,"Informasi, Komunikasi & Jasa Keuangan",99.7
Kota Sukabumi,October-2020,2020,"Rekreasi, Olahraga & Budaya",102.97
Kota Sukabumi,October-2020,2020,Pendidikan,110.9
Kota Sukabumi,October-2020,2020,Penyediaan Makanan & Minuman - Restoran,106.76
Kota Sukabumi,October-2020,2020,Perawatan Pribadi & Jasa Lainnya,113.19
Kota Sukabumi,September-2020,2020,Umum,104.65
Kota Sukabumi,September-2020,2020,"Makanan, Minuman & Tembakau",102.32
Kota Sukabumi,September-2020,2020,Pakaian & Alas Kaki,112.34
Kota Sukabumi,September-2020,2020,"Perumahan, Air, Listrik & Bahan Bakar Rumah Tangga",104.41
Kota Sukabumi,September-2020,2020,"Perlengkapan, Peralatan & Pemeliharaan Rutin Rumah Tangga",102.47
Kota Sukabumi,September-2020,2020,Kesehatan,103.55
Kota Sukabumi,September-2020,2020,Transportasi,104.14
