Wilayah Jawa Barat,Bulan_Tahun,Tahun,Kelompok Pengeluaran IHK,IHK Value
Kota Bogor,August-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",139.06
Kota Bogor,July-2017,2017,Umum,130.13
Kota Bogor,July-2017,2017,Bahan Makanan,140.01
Kota Bogor,July-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",125.98
Kota Bogor,July-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",125.65
Kota Bogor,July-2017,2017,Sandang,110.77
Kota Bogor,July-2017,2017,Kesehatan,129.76
Kota Bogor,July-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",125.16
Kota Bogor,July-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",139.05
Kota Bogor,June-2017,2017,Umum,129.95
Kota Bogor,June-2017,2017,Bahan Makanan,139.92
Kota Bogor,June-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",125.32
Kota Bogor,June-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",125.76
Kota Bogor,June-2017,2017,Sandang,110.56
Kota Bogor,June-2017,2017,Kesehatan,129.65
Kota Bogor,June-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",124.3
Kota Bogor,June-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",139.05
Kota Bogor,May-2017,2017,Umum,129.14
Kota Bogor,May-2017,2017,Bahan Makanan,139.06
Kota Bogor,May-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",125.31
Kota Bogor,May-2017,2017,"Perumahan, Air, Listrik, Gas dan Bahan Bakar",125.14
Kota Bogor,May-2017,2017,Sandang,110.34
Kota Bogor,May-2017,2017,Kesehatan,125.41
Kota Bogor,May-2017,2017,"Pendidikan, Rekreasi dan Olah Raga",122.69
Kota Bogor,May-2017,2017,"Transpor, Komunikasi dan Jasa Keuangan",138.07
Kota Bogor,April-2017,2017,Umum,128.41
Kota Bogor,April-2017,2017,Bahan Makanan,136.87
Kota Bogor,April-2017,2017,"Makanan Jadi, Minuman, Rokok dan Tembakau",124.88
